scenario,seed,controller,fault_type,fault_count,true_soc_violation_rate_at_fault,violation_rate_at_fault,intervention_rate_at_fault
drift_combo,11,dc3s_ftit,out_of_order,16,0.000000,0.000000,0.000000
drift_combo,11,dc3s_wrapped,out_of_order,16,0.000000,0.000000,0.000000
drift_combo,11,deterministic_lp,out_of_order,16,0.000000,0.000000,0.000000
drift_combo,11,robust_fixed_interval,out_of_order,16,0.000000,0.000000,0.000000
drift_combo,11,cvar_interval,spikes,8,0.000000,0.000000,0.000000
drift_combo,11,dc3s_ftit,spikes,8,0.000000,0.000000,0.000000
drift_combo,11,dc3s_wrapped,spikes,8,0.000000,0.000000,0.000000
drift_combo,11,deterministic_lp,spikes,8,0.125000,0.125000,0.000000
drift_combo,11,robust_fixed_interval,spikes,8,0.000000,0.000000,0.000000
drift_combo,11,cvar_interval,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,11,dc3s_ftit,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,11,dc3s_wrapped,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,11,deterministic_lp,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,11,robust_fixed_interval,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,cvar_interval,covariate_drift,84,0.642857,0.642857,0.000000
drift_combo,22,dc3s_ftit,covariate_drift,84,0.000000,0.000000,0.071429
drift_combo,22,dc3s_wrapped,covariate_drift,84,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,covariate_drift,84,0.035714,0.035714,0.000000
drift_combo,22,robust_fixed_interval,covariate_drift,84,0.642857,0.642857,0.000000
drift_combo,22,cvar_interval,delay_jitter,50,0.420000,0.420000,0.000000
drift_combo,22,dc3s_ftit,delay_jitter,50,0.000000,0.000000,0.060000
drift_combo,22,dc3s_wrapped,delay_jitter,50,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,delay_jitter,50,0.020000,0.020000,0.000000
drift_combo,22,robust_fixed_interval,delay_jitter,50,0.420000,0.420000,0.000000
drift_combo,22,cvar_interval,dropout,13,0.307692,0.307692,0.000000
drift_combo,22,dc3s_ftit,dropout,13,0.000000,0.000000,0.153846
drift_combo,22,dc3s_wrapped,dropout,13,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,dropout,13,0.153846,0.153846,0.000000
drift_combo,22,robust_fixed_interval,dropout,13,0.307692,0.307692,0.000000
drift_combo,22,cvar_interval,label_drift,84,0.642857,0.642857,0.000000
drift_combo,22,dc3s_ftit,label_drift,84,0.000000,0.000000,0.071429
drift_combo,22,dc3s_wrapped,label_drift,84,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,label_drift,84,0.035714,0.035714,0.000000
drift_combo,22,robust_fixed_interval,label_drift,84,0.642857,0.642857,0.000000
drift_combo,22,cvar_interval,out_of_order,16,0.250000,0.250000,0.000000
drift_combo,22,dc3s_ftit,out_of_order,16,0.000000,0.000000,0.062500
drift_combo,22,dc3s_wrapped,out_of_order,16,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,out_of_order,16,0.062500,0.062500,0.000000
drift_combo,22,robust_fixed_interval,out_of_order,16,0.250000,0.250000,0.000000
drift_combo,22,cvar_interval,spikes,8,0.250000,0.250000,0.000000
drift_combo,22,dc3s_ftit,spikes,8,0.000000,0.000000,0.000000
drift_combo,22,dc3s_wrapped,spikes,8,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,spikes,8,0.000000,0.000000,0.000000
drift_combo,22,robust_fixed_interval,spikes,8,0.250000,0.250000,0.000000
drift_combo,22,cvar_interval,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,dc3s_ftit,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,dc3s_wrapped,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,robust_fixed_interval,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,33,cvar_interval,covariate_drift,84,0.607143,0.607143,0.000000
drift_combo,33,dc3s_ftit,covariate_drift,84,0.000000,0.000000,0.107143
drift_combo,33,dc3s_wrapped,covariate_drift,84,0.000000,0.000000,0.000000
drift_combo,33,deterministic_lp,covariate_drift,84,0.083333,0.083333,0.000000
drift_combo,33,robust_fixed_interval,covariate_drift,84,0.607143,0.607143,0.000000
drift_combo,33,cvar_interval,delay_jitter,50,0.320000,0.320000,0.000000
drift_combo,33,dc3s_ftit,delay_jitter,50,0.000000,0.000000,0.080000
drift_combo,33,dc3s_wrapped,delay_jitter,50,0.000000,0.000000,0.000000
drift_combo,33,deterministic_lp,delay_jitter,50,0.040000,0.040000,0.000000
drift_combo,33,robust_fixed_interval,delay_jitter,50,0.320000,0.320000,0.000000
drift_combo,33,cvar_interval,dropout,13,0.076923,0.076923,0.000000
drift_combo,33,dc3s_ftit,dropout,13,0.000000,0.000000,0.076923
drift_combo,33,dc3s_wrapped,dropout,13,0.000000,0.000000,0.000000
drift_combo,33,deterministic_lp,dropout,13,0.000000,0.000000,0.000000
drift_combo,33,robust_fixed_interval,dropout,13,0.076923,0.076923,0.000000
drift_combo,33,cvar_interval,label_drift,84,0.607143,0.607143,0.000000
drift_combo,33,dc3s_ftit,label_drift,84,0.000000,0.000000,0.107143
drift_combo,33,dc3s_wrapped,label_drift,84,0.000000,0.000000,0.000000
drift_combo,33,deterministic_lp,label_drift,84,0.083333,0.083333,0.000000
drift_combo,33,robust_fixed_interval,label_drift,84,0.607143,0.607143,0.000000
drift_combo,33,cvar_interval,out_of_order,16,0.250000,0.250000,0.000000
drift_combo,33,dc3s_ftit,out_of_order,16,0.000000,0.000000,0.125000
drift_combo,33,dc3s_wrapped,out_of_order,16,0.000000,0.000000,0.000000
drift_combo,33,deterministic_lp,out_of_order,16,0.062500,0.062500,0.000000
drift_combo,33,robust_fixed_interval,out_of_order,16,0.250000,0.250000,0.000000
drift_combo,33,cvar_interval,spikes,8,0.375000,0.375000,0.000000
drift_combo,33,dc3s_ftit,spikes,8,0.000000,0.000000,0.000000
drift_combo,33,dc3s_wrapped,spikes,8,0.000000,0.000000,0.000000
drift_combo,33,deterministic_lp,spikes,8,0.000000,0.000000,0.000000
drift_combo,33,robust_fixed_interval,spikes,8,0.375000,0.375000,0.000000
drift_combo,33,cvar_interval,stale_sensor,8,0.500000,0.500000,0.000000
drift_combo,33,dc3s_ftit,stale_sensor,8,0.000000,0.000000,0.250000
drift_combo,33,dc3s_wrapped,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,33,deterministic_lp,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,33,robust_fixed_interval,stale_sensor,8,0.500000,0.500000,0.000000
drift_combo,44,cvar_interval,covariate_drift,84,1.000000,1.000000,0.000000
drift_combo,44,dc3s_ftit,covariate_drift,84,0.000000,0.000000,0.059524
drift_combo,44,dc3s_wrapped,covariate_drift,84,0.000000,0.000000,0.000000
drift_combo,44,deterministic_lp,covariate_drift,84,0.035714,0.035714,0.000000
drift_combo,44,robust_fixed_interval,covariate_drift,84,1.000000,1.000000,0.000000
drift_combo,44,cvar_interval,delay_jitter,50,0.580000,0.580000,0.000000
drift_combo,44,dc3s_ftit,delay_jitter,50,0.000000,0.000000,0.060000
drift_combo,44,dc3s_wrapped,delay_jitter,50,0.000000,0.000000,0.000000
drift_combo,44,deterministic_lp,delay_jitter,50,0.040000,0.040000,0.000000
drift_combo,44,robust_fixed_interval,delay_jitter,50,0.580000,0.580000,0.000000
drift_combo,44,cvar_interval,dropout,13,0.384615,0.384615,0.000000
drift_combo,44,dc3s_ftit,dropout,13,0.000000,0.000000,0.000000
drift_combo,44,dc3s_wrapped,dropout,13,0.000000,0.000000,0.000000
drift_combo,44,deterministic_lp,dropout,13,0.000000,0.000000,0.000000
drift_combo,44,robust_fixed_interval,dropout,13,0.384615,0.384615,0.000000
